   0.0000000000   0.0000000000   0.0000000000   0.0000000000
   0.0216507939   0.0029136287   0.0000000000   0.0000000000
   0.0433015877   0.0253873298   0.0000000000   0.0000000000
   0.0649523816   0.1166774392   0.0000000000   0.0000000000
   0.0866031755   0.3854263269   0.0000000000   0.0000000000
   0.1082539693   1.0189699496   0.0000000000   0.0000000000
   0.1299047632   2.2649076597   0.0000000000   0.0000000000
   0.1515555571   4.3350580494   0.0000000000   0.0000000000
   0.1732063509   7.2270858573   0.0000000000   0.0000000000
   0.1948571448  10.5414598333  -0.0000000000  -0.0000000000
   0.2165079387  13.4423222780  -0.0000000000  -0.0000000000
   0.2381587325  14.8810552311  -0.0000000000   0.0000000000
   0.2598095264  14.0448090762  -0.0000000000   0.0000000000
   0.2814603203  10.8057557834   0.0000000000   0.0000000000
   0.3031111141   5.8879613661   0.0000000000   0.0000000000
   0.3247619080   0.6132667223   0.0000000000   0.0000000000
   0.3464127019  -3.6534383100   0.0000000000   0.0000000000
   0.3680634958  -6.0531485928   0.0000000000   0.0000000000
   0.3897142896  -6.4881553023  -0.0000000000  -0.0000000000
   0.4113650835  -5.4940141029  -0.0000000000  -0.0000000000
   0.4330158774  -3.8649877077  -0.0000000000  -0.0000000000
   0.4546666712  -2.2756325780  -0.0000000000  -0.0000000000
   0.4763174651  -1.0821876386  -0.0000000000  -0.0000000000
