   0.0000000000   0.0000000000   0.0000000000   0.0000000000
   0.0216507939   0.0029218402   0.0000000000   0.0000000000
   0.0433015877   0.0255458731   0.0000000000   0.0000000000
   0.0649523816   0.1175182713   0.0000000000   0.0000000000
   0.0866031755   0.3879998183   0.0000000000   0.0000000000
   0.1082539693   1.0244362082   0.0000000000   0.0000000000
   0.1299047632   2.2729216883   0.0000000000   0.0000000000
   0.1515555571   4.3402524469   0.0000000000   0.0000000000
   0.1732063509   7.2140824766   0.0000000000   0.0000000000
   0.1948571448  10.4815250726  -0.0000000000  -0.0000000000
   0.2165079387  13.2972019496  -0.0000000000  -0.0000000000
   0.2381587325  14.6179707914  -0.0000000000  -0.0000000000
   0.2598095264  13.6592554203  -0.0000000000  -0.0000000000
   0.2814603203  10.3396584849   0.0000000000  -0.0000000000
   0.3031111141   5.4282941882   0.0000000000   0.0000000000
   0.3247619080   0.2654960643   0.0000000000   0.0000000000
   0.3464127019  -3.8063772858   0.0000000000   0.0000000000
   0.3680634958  -5.9843758508   0.0000000000   0.0000000000
   0.3897142896  -6.2342558848  -0.0000000000  -0.0000000000
   0.4113650835  -5.1339368048  -0.0000000000  -0.0000000000
   0.4330158774  -3.4851228299  -0.0000000000  -0.0000000000
   0.4546666712  -1.9414608013  -0.0000000000  -0.0000000000
   0.4763174651  -0.8285200175  -0.0000000000   0.0000000000
